corpus,model,model_name,pipeline,ngram_max,min_df,alpha,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall,C,max_depth
PolitiFact,nb,Multinomial NB,fixed,1,2,1.0,0.6205128205128205,0.6395721925133689,0.6188186813186813,0.788235294117647,0.4909090909090909,,
PolitiFact,nb,Multinomial NB,selected,2,2,1.0,0.6071794871794872,0.6264171122994653,0.6052594024742046,0.7764705882352941,0.4763636363636364,,
PolitiFact,lr,Logistic Regression,fixed,1,2,,0.6676923076923077,0.670427807486631,0.6662990568907818,0.691764705882353,0.649090909090909,1.0,
PolitiFact,lr,Logistic Regression,selected,2,2,,0.6666666666666666,0.674331550802139,0.6664294609500089,0.7341176470588235,0.6145454545454545,10.0,
PolitiFact,svm,Linear SVM,fixed,1,2,,0.6758974358974359,0.6827807486631017,0.6755257304620361,0.7364705882352941,0.6290909090909091,1.0,
PolitiFact,svm,Linear SVM,selected,2,2,,0.6615384615384615,0.6692513368983957,0.6613157894736843,0.7294117647058823,0.6090909090909091,1.0,
PolitiFact,rf,Random Forest,fixed,1,2,,0.5876923076923077,0.5995187165775402,0.587594696969697,0.691764705882353,0.5072727272727273,,
PolitiFact,rf,Random Forest,selected,1,2,,0.5876923076923077,0.5995187165775402,0.587594696969697,0.691764705882353,0.5072727272727273,,
GossipCop,nb,Multinomial NB,fixed,1,2,1.0,0.31170155923641135,0.5015463028157897,0.30681216801844546,0.8549538203190596,0.14813878531251976,,
GossipCop,nb,Multinomial NB,selected,2,2,1.0,0.31631612182445235,0.5014673834860699,0.31241848418716767,0.8461376994122586,0.15679706755988118,,
GossipCop,lr,Logistic Regression,fixed,1,2,,0.4523242823140817,0.4996470983343073,0.4339204936036081,0.5877413937867338,0.4115528028818808,1.0,
GossipCop,lr,Logistic Regression,selected,2,2,,0.4344489240783018,0.5066504360024331,0.42350888323064684,0.6410579345088161,0.37224293749605003,10.0,
GossipCop,svm,Linear SVM,fixed,1,2,,0.43556613396803806,0.5161063818768001,0.4262666683243998,0.6660369437447523,0.36617582000884785,1.0,
GossipCop,svm,Linear SVM,selected,2,2,,0.43124301743818916,0.5097730161214056,0.4218213748579952,0.6559613769941226,0.3635846552486886,1.0,
GossipCop,rf,Random Forest,fixed,1,2,,0.37120512945062417,0.48993476081672394,0.3700853434473769,0.7109571788413098,0.26891234279213805,,
GossipCop,rf,Random Forest,selected,1,2,,0.37120512945062417,0.48993476081672394,0.3700853434473769,0.7109571788413098,0.26891234279213805,,
