stage,held_out_fold,model,model_name,ngram_max,min_df,model_parameter,mean_inner_macro_f1,sd_inner_macro_f1,validation_folds,fold_score_1,fold_score_2,fold_score_3,fold_score_4,fold_score_5
nested_inner,1.0,nb,Multinomial NB,1,2,0.1,0.9305347144455298,0.0037558772870352063,"2,3,4,5",0.925513748691636,0.9341905444158514,0.9300313534064077,0.9324032112682243,
nested_inner,1.0,nb,Multinomial NB,1,2,1.0,0.9322246078488238,0.0024817533567745944,"2,3,4,5",0.9285285440955373,0.93333010908294,0.9331743664306221,0.9338654117861959,
nested_inner,1.0,nb,Multinomial NB,1,2,10.0,0.9231167889675693,0.003288642558460935,"2,3,4,5",0.9187334751438281,0.9251596917517939,0.9260646130982538,0.9225093758764016,
nested_inner,1.0,nb,Multinomial NB,1,5,0.1,0.9282932143521273,0.0033411524344113177,"2,3,4,5",0.9235456784142748,0.9295225821881159,0.9313271910683585,0.92877740573776,
nested_inner,1.0,nb,Multinomial NB,1,5,1.0,0.9300657422654293,0.002460638616533068,"2,3,4,5",0.9264516418682227,0.9317943712031008,0.930598084156357,0.931418871834037,
nested_inner,1.0,nb,Multinomial NB,1,5,10.0,0.9231661762695216,0.0028465295523014,"2,3,4,5",0.9196362068289623,0.9248334576423325,0.9260123148916094,0.9221827257151819,
nested_inner,1.0,nb,Multinomial NB,2,2,0.1,0.9364353863302155,0.003037903381974883,"2,3,4,5",0.9347538011325801,0.9409298293017685,0.9344361927154555,0.9356217221710579,
nested_inner,1.0,nb,Multinomial NB,2,2,1.0,0.9357198938869604,0.002622675290360697,"2,3,4,5",0.9329408682465903,0.9387639472130018,0.9369310528162873,0.9342437072719625,
nested_inner,1.0,nb,Multinomial NB,2,2,10.0,0.9233636992806488,0.0031173658204573904,"2,3,4,5",0.9190732232883396,0.9248364375309918,0.9262902874586536,0.9232548488446102,
nested_inner,1.0,nb,Multinomial NB,2,5,0.1,0.9322465802762359,0.0028401834121946933,"2,3,4,5",0.9291458443533576,0.9357345574283737,0.933135641443718,0.9309702778794939,
nested_inner,1.0,nb,Multinomial NB,2,5,1.0,0.9326839427366558,0.003462248620583458,"2,3,4,5",0.9282652073463982,0.9365753746733574,0.9337072019604459,0.9321879869664218,
nested_inner,1.0,nb,Multinomial NB,2,5,10.0,0.9236086301933351,0.002998679060941025,"2,3,4,5",0.9195849851442945,0.9250788679712181,0.9265231624800851,0.923247505177742,
nested_inner,1.0,lr,Logistic Regression,1,2,0.1,0.9016156135846305,0.0021878484035796892,"2,3,4,5",0.8986837198262436,0.9029682532027031,0.903564418196073,0.901246063113502,
nested_inner,1.0,lr,Logistic Regression,1,2,1.0,0.9331386215615954,0.002920931260875959,"2,3,4,5",0.9292609381513226,0.9352665399388307,0.9355135397787537,0.9325134683774747,
