corpus,condition,titles_changed_by_mask,prediction_changes_vs_baseline,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall
PolitiFact,baseline_locked,0,0,0.6758974358974359,0.6827807486631017,0.6755257304620361,0.7364705882352941,0.6290909090909091
PolitiFact,publisher_masked_locked,26,2,0.6758974358974359,0.6827807486631017,0.6755257304620361,0.7364705882352941,0.6290909090909091
PolitiFact,style_masked_locked,90,17,0.6605128205128206,0.6654010695187166,0.6597554688463684,0.7035294117647058,0.6272727272727273
PolitiFact,combined_masked_locked,115,19,0.6605128205128206,0.6654010695187166,0.6597554688463684,0.7035294117647058,0.6272727272727273
PolitiFact,combined_masked_symmetric_refit,115,40,0.6574358974358975,0.6624064171122994,0.6567046173308033,0.7011764705882353,0.6236363636363637
GossipCop,baseline_locked,0,0,0.43556613396803806,0.5161063818768001,0.4262666683243998,0.6660369437447523,0.36617582000884785
GossipCop,publisher_masked_locked,200,27,0.43512896488075,0.5156019229943678,0.4258439392058403,0.665407220822838,0.3657966251658977
GossipCop,style_masked_locked,1263,252,0.43401175499101374,0.515755383879592,0.4250446523281184,0.6679261125104954,0.3635846552486886
GossipCop,combined_masked_locked,1450,279,0.4336717345897897,0.5153141241376514,0.42470633377545775,0.6672963895885811,0.36333185868672185
GossipCop,combined_masked_symmetric_refit,1450,810,0.4281828338271725,0.5133571662014818,0.4202176927383122,0.6719143576826196,0.3547999747203438
