adaptation_fraction,repeat,adaptation_n,evaluation_n,method,score_threshold,platt_slope,platt_intercept,brier,log_loss,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall,predicted_real_rate
0.05,1,1029,19558,locked_zero_threshold,0.0,,,,,0.4352694549544943,0.5155660412301746,0.4259422557220023,0.6650463985859478,0.36608568387440127,0.35888127620411087
0.05,1,1029,19558,adaptation_balanced_accuracy_threshold,-0.08706681615247158,,,,,0.4644135392166888,0.5175392951657469,0.4466625966518787,0.6164383561643836,0.41864023416711016,0.4105225483178239
0.05,1,1029,19558,adaptation_platt_probability_0.5,,0.08633778207477717,1.2260677085007239,0.17797463662350713,0.5412779512306396,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,2,1029,19558,locked_zero_threshold,0.0,,,,,0.43470702525820637,0.5157406282711186,0.4255598668247649,0.6665930181175431,0.364888238424694,0.35760302689436546
0.05,2,1029,19558,adaptation_balanced_accuracy_threshold,0.09638062468378938,,,,,0.4034666121280295,0.5125580379179888,0.40033662200575404,0.7156429518338489,0.3094731240021288,0.30366090602311074
0.05,2,1029,19558,adaptation_platt_probability_0.5,,0.058595918879445215,1.2156296881701423,0.17790970610220383,0.5411060466964397,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,3,1029,19558,locked_zero_threshold,0.0,,,,,0.4361386644851212,0.5167491851820845,0.4268182250724091,0.6668139637649139,0.36668440659925494,0.3589324061765007
0.05,3,1029,19558,adaptation_balanced_accuracy_threshold,0.35315543719314024,,,,,0.33658860824215153,0.5099723917889589,0.3350030671508354,0.8327441449403447,0.18720063863757316,0.18258513140402904
0.05,3,1029,19558,adaptation_platt_probability_0.5,,-0.010312638795979063,1.1986015474166714,0.17786545650483113,0.5409898951435662,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,4,1029,19558,locked_zero_threshold,0.0,,,,,0.4352694549544943,0.5166469875313281,0.4261539579177499,0.6681396376491383,0.3651543374135178,0.357449636977196
0.05,4,1029,19558,adaptation_balanced_accuracy_threshold,-0.3370710669928124,,,,,0.5432048266693936,0.5068738319218603,0.4835320084750667,0.43923994697304464,0.5745077168706759,0.5713263114837918
0.05,4,1029,19558,adaptation_platt_probability_0.5,,-0.18379332686541136,1.1618564590925566,0.17845292659536138,0.5425977716646047,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,5,1029,19558,locked_zero_threshold,0.0,,,,,0.4352183249821045,0.5160732520071484,0.4260040202470473,0.6665930181175431,0.36555348589675357,0.35811432661826365
0.05,5,1029,19558,adaptation_balanced_accuracy_threshold,-0.44853720030023014,,,,,0.5765926986399428,0.5037323969580758,0.4929127025805087,0.36809544851966414,0.6393693453964875,0.6376418856733818
0.05,5,1029,19558,adaptation_platt_probability_0.5,,0.03603765799362389,1.2102155862521307,0.17787723264909572,0.5410200365033111,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,6,1029,19558,locked_zero_threshold,0.0,,,,,0.4357807546783925,0.5160530858663691,0.42641634520654503,0.6654882898806893,0.36661788185204897,0.3591880560384497
0.05,6,1029,19558,adaptation_balanced_accuracy_threshold,-0.13854486336169058,,,,,0.48062174046426015,0.5135679029824017,0.4555623667523768,0.5749005744586831,0.45223523150612027,0.44595561918396565
0.05,6,1029,19558,adaptation_platt_probability_0.5,,-0.045220478796565614,1.1889316301481596,0.1779046656865108,0.5410968696577922,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,7,1029,19558,locked_zero_threshold,0.0,,,,,0.43700787401574803,0.5170058037330054,0.4275111351715091,0.6659301811754308,0.3680814262905801,0.36021065548624603
0.05,7,1029,19558,adaptation_balanced_accuracy_threshold,0.23425227892225808,,,,,0.36777789139993866,0.5129672988683209,0.36776035633857673,0.7832523199292974,0.24268227780734433,0.23668064219245322
0.05,7,1029,19558,adaptation_platt_probability_0.5,,0.011421327427362078,1.2046824295106577,0.17786184314645537,0.5409796630201097,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,8,1029,19558,locked_zero_threshold,0.0,,,,,0.4367010941814091,0.5173467026419644,0.4273519596864981,0.6674768007070261,0.3672166045769026,0.3591880560384497
0.05,8,1029,19558,adaptation_balanced_accuracy_threshold,-0.808116681779027,,,,,0.6622865323652726,0.4938512525466367,0.49211548671789973,0.1802916482545294,0.807410856838744,0.8102566724613969
0.05,8,1029,19558,adaptation_platt_probability_0.5,,-0.021938600413545787,1.1956384966065876,0.1778739928259144,0.5410130408587468,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,9,1029,19558,locked_zero_threshold,0.0,,,,,0.43567849473361286,0.5168358760700695,0.42649433915625423,0.6679186920017676,0.3657530601383715,0.3579609367010942
0.05,9,1029,19558,adaptation_balanced_accuracy_threshold,-0.16877410438316698,,,,,0.49054095510788426,0.5138439674547884,0.46139031695677907,0.5572249226690235,0.4704630122405535,0.4640556294099601
0.05,9,1029,19558,adaptation_platt_probability_0.5,,-0.022447664595069527,1.195878167974542,0.1778744767074609,0.541014394725249,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,10,1029,19558,locked_zero_threshold,0.0,,,,,0.4351671950097147,0.5148046224322271,0.42571616746139124,0.6630578877596112,0.366551357104843,0.3596993557623479
0.05,10,1029,19558,adaptation_balanced_accuracy_threshold,-0.22092774817864969,,,,,0.506646896410676,0.5094199982738254,0.468321728618232,0.5145824127264693,0.5042575838211815,0.49989774005522036
0.05,10,1029,19558,adaptation_platt_probability_0.5,,0.1913579093811477,1.25724082443437,0.1784697996042089,0.5425696192130037,0.7685857449636977,0.5000772104500825,0.4347935322244566,0.0002209456473707468,0.9999334752527941,0.9998977400552204
0.05,11,1029,19558,locked_zero_threshold,0.0,,,,,0.43465589528581655,0.5153985240971859,0.4254550972230409,0.66570923552806,0.36508781266631185,0.3579609367010942
0.05,11,1029,19558,adaptation_balanced_accuracy_threshold,-0.008614950424807422,,,,,0.4378770835463749,0.5157182132822786,0.42789053850253067,0.6606274856385329,0.37080894092602446,0.363534103691584
0.05,11,1029,19558,adaptation_platt_probability_0.5,,0.11431620133036031,1.2313322352830491,0.178068231853842,0.5415213575598193,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,12,1029,19558,locked_zero_threshold,0.0,,,,,0.43496267512015546,0.5146715729378152,0.4255388495171434,0.6630578877596112,0.36628525811601914,0.35949483587278863
0.05,12,1029,19558,adaptation_balanced_accuracy_threshold,-0.003748584508140418,,,,,0.4368544840985786,0.5155934389607959,0.4271158446323794,0.6621741051701282,0.36901277275146355,0.3617956846303303
