scope,model,model_name,selected_only_correct,fixed_only_correct,discordant,exact_two_sided_mcnemar_p
pooled_nested_outer,nb,Multinomial NB,509,385,894,3.790644595881813e-05
pooled_nested_outer,lr,Logistic Regression,669,282,951,6.011455907285149e-37
pooled_nested_outer,svm,Linear SVM,537,355,892,1.1953720646475224e-09
pooled_nested_outer,rf,Random Forest,0,0,0,1.0
PolitiFact,nb,Multinomial NB,25,38,63,0.12991792302255253
PolitiFact,lr,Logistic Regression,35,36,71,1.0
PolitiFact,svm,Linear SVM,25,39,64,0.10342187831608088
PolitiFact,rf,Random Forest,0,0,0,1.0
GossipCop,nb,Multinomial NB,351,256,607,0.00013210255163239584
GossipCop,lr,Logistic Regression,693,1061,1754,1.4300845253428251e-18
GossipCop,svm,Linear SVM,737,826,1563,0.02599026859494527
GossipCop,rf,Random Forest,0,0,0,1.0
