outer_fold,model,model_name,pipeline,ngram_max,min_df,alpha,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall,C,max_depth
1,nb,Multinomial NB,fixed,1,2,1.0,0.9369346084259499,0.9365807583684679,0.9365807583684679,0.9318435754189944,0.9413179413179413,,
1,nb,Multinomial NB,selected,2,2,0.1,0.9344791935900749,0.9347813731891944,0.9341944587704801,0.9388268156424581,0.9307359307359307,,
1,lr,Logistic Regression,fixed,1,2,,0.9371930731455156,0.9352098398187785,0.9366038454940623,0.908659217877095,0.9617604617604618,1.0,
1,lr,Logistic Regression,selected,2,2,,0.9459808736107521,0.9448041199437848,0.9455752794612591,0.9290502793296089,0.9605579605579606,10.0,
1,svm,Linear SVM,fixed,1,2,,0.943783923494443,0.9426239651099986,0.9433656447453453,0.9270949720670391,0.9581529581529582,1.0,
1,svm,Linear SVM,selected,2,2,,0.947402429568364,0.946359847477166,0.9470228403933217,0.9324022346368716,0.9603174603174603,1.0,
1,rf,Random Forest,fixed,1,2,,0.9243990695270096,0.9221207821766481,0.9236449626123906,0.8916201117318435,0.9526214526214526,,
1,rf,Random Forest,selected,1,2,,0.9243990695270096,0.9221207821766481,0.9236449626123906,0.8916201117318435,0.9526214526214526,,
2,nb,Multinomial NB,fixed,1,2,1.0,0.9311772315653298,0.9306572524612627,0.9307739441930618,0.923679060665362,0.9376354442571635,,
2,nb,Multinomial NB,selected,2,2,1.0,0.936869340232859,0.9363229817059671,0.9364917999159699,0.9289907743919485,0.9436551890199856,,
2,lr,Logistic Regression,fixed,1,2,,0.934411384217335,0.932251870563741,0.9337694825946472,0.903270897400056,0.961232843727426,1.0,
2,lr,Logistic Regression,selected,2,2,,0.944372574385511,0.9432864985859237,0.9439690435497696,0.9287112105116019,0.9578617866602456,10.0,
2,svm,Linear SVM,fixed,1,2,,0.9404915912031048,0.9392869108298928,0.9400465464598631,0.9231199329046688,0.9554538887551168,1.0,
2,svm,Linear SVM,selected,2,2,,0.9439844760672704,0.9430222491247389,0.9435941866061417,0.9301090299133352,0.9559354683361425,1.0,
2,rf,Random Forest,fixed,1,2,,0.9261319534282018,0.9240813081893233,0.9254393844373636,0.896561364271736,0.9516012521069107,,
2,rf,Random Forest,selected,1,2,,0.9261319534282018,0.9240813081893233,0.9254393844373636,0.896561364271736,0.9516012521069107,,
3,nb,Multinomial NB,fixed,1,2,1.0,0.9353921695309472,0.9351625467470501,0.9350434959293364,0.9321039396479464,0.9382211538461539,,
3,nb,Multinomial NB,selected,2,2,1.0,0.9424990308825429,0.9421048195134007,0.942165163129908,0.9368538697960324,0.9473557692307693,,
3,lr,Logistic Regression,fixed,1,2,,0.9403023646465951,0.9386176977883809,0.9397825959542678,0.9161777032690696,0.9610576923076923,1.0,
3,lr,Logistic Regression,selected,2,2,,0.9519317741310247,0.9510934846970576,0.9516018142754834,0.9399273540094999,0.9622596153846154,10.0,
3,svm,Linear SVM,fixed,1,2,,0.9440496188138002,0.9430983622412793,0.9436570325871603,0.9304274937133278,0.9557692307692308,1.0,
