stage,outer_fold,model,model_name,ngram_max,min_df,alpha,C,max_depth
nested_outer,1.0,nb,Multinomial NB,2,2,0.1,,
nested_outer,1.0,lr,Logistic Regression,2,2,,10.0,
nested_outer,1.0,svm,Linear SVM,2,2,,1.0,
nested_outer,1.0,rf,Random Forest,1,2,,,
nested_outer,2.0,nb,Multinomial NB,2,2,1.0,,
nested_outer,2.0,lr,Logistic Regression,2,2,,10.0,
nested_outer,2.0,svm,Linear SVM,2,2,,1.0,
nested_outer,2.0,rf,Random Forest,1,2,,,
nested_outer,3.0,nb,Multinomial NB,2,2,1.0,,
nested_outer,3.0,lr,Logistic Regression,2,2,,10.0,
nested_outer,3.0,svm,Linear SVM,2,2,,1.0,
nested_outer,3.0,rf,Random Forest,1,2,,,
nested_outer,4.0,nb,Multinomial NB,2,2,1.0,,
nested_outer,4.0,lr,Logistic Regression,2,2,,10.0,
nested_outer,4.0,svm,Linear SVM,2,2,,1.0,
nested_outer,4.0,rf,Random Forest,1,2,,,
nested_outer,5.0,nb,Multinomial NB,2,2,1.0,,
nested_outer,5.0,lr,Logistic Regression,2,2,,10.0,
nested_outer,5.0,svm,Linear SVM,2,2,,1.0,
nested_outer,5.0,rf,Random Forest,1,2,,,
global_group_cv,,nb,Multinomial NB,2,2,1.0,,
global_group_cv,,lr,Logistic Regression,2,2,,10.0,
global_group_cv,,svm,Linear SVM,2,2,,1.0,
global_group_cv,,rf,Random Forest,1,2,,,
