corpus,cue_family,cue,total_occurrences,fake_occurrences,real_occurrences
PolitiFact,publisher,cnn,11,5,6
PolitiFact,publisher,fox_news,7,3,4
PolitiFact,publisher,abc_news,3,1,2
PolitiFact,publisher,youtube,3,1,2
PolitiFact,publisher,new_york_times,2,1,1
PolitiFact,publisher,politifact,1,0,1
PolitiFact,publisher,washington_post,1,0,1
PolitiFact,style,breaking,66,63,3
PolitiFact,style,report_or_reports,15,5,10
PolitiFact,style,claim_or_claims,6,2,4
PolitiFact,style,exclusive,2,1,1
PolitiFact,style,fact_check,1,1,0
GossipCop,publisher,billboard,86,5,81
GossipCop,publisher,e_news,35,2,33
GossipCop,publisher,vanity_fair,19,3,16
GossipCop,publisher,instyle,8,0,8
GossipCop,publisher,cnn,7,4,3
GossipCop,publisher,fox_news,7,1,6
GossipCop,publisher,radar_online,5,4,1
GossipCop,publisher,hollywood_life,4,4,0
GossipCop,publisher,cbs_news,3,1,2
GossipCop,publisher,cosmopolitan,3,0,3
GossipCop,publisher,daily_mail,3,1,2
GossipCop,publisher,harpers_bazaar,3,0,3
GossipCop,publisher,nbc_news,3,0,3
GossipCop,publisher,us_weekly,2,2,0
GossipCop,publisher,wikipedia,2,0,2
GossipCop,publisher,abc_news,1,0,1
GossipCop,publisher,celebrity_insider,1,1,0
GossipCop,publisher,entertainment_tonight,1,1,0
GossipCop,publisher,entertainment_weekly,1,1,0
GossipCop,publisher,hollywood_reporter,1,0,1
GossipCop,publisher,imdb,1,0,1
GossipCop,publisher,new_idea,1,1,0
GossipCop,publisher,new_york_times,1,0,1
GossipCop,publisher,page_six,1,0,1
GossipCop,publisher,the_wrap,1,0,1
GossipCop,style,report_or_reports,361,284,77
GossipCop,style,rumor_or_rumour,316,190,126
GossipCop,style,exclusive,203,100,103
GossipCop,style,claim_or_claims,169,81,88
GossipCop,style,reportedly,154,104,50
GossipCop,style,according_to,37,9,28
GossipCop,style,allegedly,37,5,32
GossipCop,style,breaking,22,8,14
GossipCop,style,sources_say,3,2,1
