corpus,condition,metric,baseline,alternative,alternative_minus_baseline,ci95_lower,ci95_upper
PolitiFact,publisher_masked_locked,accuracy,0.6758974358974359,0.6758974358974359,0.0,-0.003076923076923088,0.003076923076923088
PolitiFact,publisher_masked_locked,balanced_accuracy,0.6827807486631017,0.6827807486631017,0.0,-0.0027272727272726893,0.0027272727272726893
PolitiFact,publisher_masked_locked,macro_f1,0.6755257304620361,0.6755257304620361,0.0,-0.0030032023141937673,0.002975741759924516
PolitiFact,style_masked_locked,accuracy,0.6758974358974359,0.6605128205128206,-0.01538461538461533,-0.02358974358974364,-0.007179487179487243
PolitiFact,style_masked_locked,balanced_accuracy,0.6827807486631017,0.6654010695187166,-0.017379679144385096,-0.026798128342246045,-0.008235294117647118
PolitiFact,style_masked_locked,macro_f1,0.6755257304620361,0.6597554688463684,-0.015770261615667747,-0.024529413553985274,-0.007445571529255554
PolitiFact,combined_masked_locked,accuracy,0.6758974358974359,0.6605128205128206,-0.01538461538461533,-0.024615384615384595,-0.007179487179487132
PolitiFact,combined_masked_locked,balanced_accuracy,0.6827807486631017,0.6654010695187166,-0.017379679144385096,-0.02759625668449197,-0.008235294117647115
PolitiFact,combined_masked_locked,macro_f1,0.6755257304620361,0.6597554688463684,-0.015770261615667747,-0.025237692815774686,-0.007351857812235374
PolitiFact,combined_masked_symmetric_refit,accuracy,0.6758974358974359,0.6574358974358975,-0.018461538461538418,-0.03076923076923077,-0.0071538461538462475
PolitiFact,combined_masked_symmetric_refit,balanced_accuracy,0.6827807486631017,0.6624064171122994,-0.02037433155080226,-0.03326336898395727,-0.00802005347593576
PolitiFact,combined_masked_symmetric_refit,macro_f1,0.6755257304620361,0.6567046173308033,-0.018821113131232803,-0.03114777644473089,-0.007149623222642875
GossipCop,publisher_masked_locked,accuracy,0.43556613396803806,0.43512896488075,-0.0004371690872880807,-0.0009229125176081765,4.857434303201513e-05
GossipCop,publisher_masked_locked,balanced_accuracy,0.5161063818768001,0.5156019229943678,-0.0005044588824323348,-0.0010506724446919247,2.538777395352822e-07
GossipCop,publisher_masked_locked,macro_f1,0.4262666683243998,0.4258439392058403,-0.0004227291185595061,-0.0008731667121394018,1.4622987819386244e-05
GossipCop,style_masked_locked,accuracy,0.43556613396803806,0.43401175499101374,-0.0015543789770243177,-0.003108757954048691,-4.857434303201513e-05
GossipCop,style_masked_locked,balanced_accuracy,0.5161063818768001,0.515755383879592,-0.00035099799720816893,-0.002966048158806328,0.0021173436642436803
GossipCop,style_masked_locked,macro_f1,0.4262666683243998,0.4250446523281184,-0.0012220159962814114,-0.0028610512746777813,0.000299987381449996
GossipCop,combined_masked_locked,accuracy,0.43556613396803806,0.4336717345897897,-0.0018943993782483681,-0.0035459270413367716,-0.0003400204012240504
GossipCop,combined_masked_locked,balanced_accuracy,0.5161063818768001,0.5153141241376514,-0.0007922577391487051,-0.0034872173702332893,0.001684935980756391
GossipCop,combined_masked_locked,macro_f1,0.4262666683243998,0.42470633377545775,-0.001560334548942055,-0.003272176195194758,1.892764726854579e-05
GossipCop,combined_masked_symmetric_refit,accuracy,0.43556613396803806,0.4281828338271725,-0.0073833001408655785,-0.010007529023169972,-0.004711711274105024
GossipCop,combined_masked_symmetric_refit,balanced_accuracy,0.5161063818768001,0.5133571662014818,-0.002749215675318384,-0.006129464619969713,0.0007574882623913823
GossipCop,combined_masked_symmetric_refit,macro_f1,0.4262666683243998,0.4202176927383122,-0.006048975586087579,-0.008616532956490782,-0.003471483353031514
