corpus,hostname_status,model,n,fake_n,real_n,hostname_clusters,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall
GossipCop,seen,multinomial_nb,19284,4485,14799,825,0.3112424808131093,0.5012168181841808,0.30597504313884016,0.8564102564102564,0.14602337995810527
GossipCop,seen,logistic_regression,19284,4485,14799,825,0.4521364862061813,0.5003214535195251,0.43431286877745523,0.59041248606466,0.41023042097439016
GossipCop,seen,linear_svm,19284,4485,14799,825,0.43590541381456127,0.5169402434088356,0.4269553045720165,0.6684503901895206,0.36543009662815057
GossipCop,seen,random_forest,19284,4485,14799,825,0.37165525824517737,0.4878215580416375,0.370452191783735,0.7050167224080267,0.2706263936752483
GossipCop,seen,hostname_only,19284,4485,14799,825,0.8520016594067621,0.7212982166154678,0.7545220561185053,0.47692307692307695,0.9656733563078587
GossipCop,unseen,multinomial_nb,1303,279,1024,1247,0.31849577897160397,0.5051260780689963,0.3175306474901617,0.8315412186379928,0.1787109375
GossipCop,unseen,logistic_regression,1303,279,1024,1247,0.4551036070606293,0.4877334649417563,0.42691143092186773,0.5448028673835126,0.4306640625
GossipCop,unseen,linear_svm,1303,279,1024,1247,0.43054489639293936,0.5020966341845878,0.41521017511770486,0.6272401433691757,0.376953125
GossipCop,unseen,random_forest,1303,279,1024,1247,0.3645433614735226,0.5252961189516129,0.3643093500763618,0.8064516129032258,0.244140625
GossipCop,unseen,hostname_only,1303,279,1024,1247,0.7858787413660783,0.5,0.44005156854318866,0.0,1.0
PolitiFact,seen,multinomial_nb,542,158,384,97,0.5627306273062731,0.6355320411392404,0.5591272742249359,0.810126582278481,0.4609375
PolitiFact,seen,logistic_regression,542,158,384,97,0.6328413284132841,0.6496242088607596,0.6122154749963148,0.689873417721519,0.609375
PolitiFact,seen,linear_svm,542,158,384,97,0.6549815498154982,0.6857364187763713,0.6387168985417357,0.759493670886076,0.6119791666666666
PolitiFact,seen,random_forest,542,158,384,97,0.551660516605166,0.5904700685654009,0.5408941176470587,0.6835443037974683,0.4973958333333333
PolitiFact,seen,hostname_only,542,158,384,97,0.9428044280442804,0.9130735759493671,0.9281164033387668,0.8417721518987342,0.984375
PolitiFact,unseen,multinomial_nb,433,267,166,423,0.6928406466512702,0.6677609313659131,0.6699638380909263,0.7752808988764045,0.5602409638554217
PolitiFact,unseen,logistic_regression,433,267,166,423,0.7113163972286374,0.7169238752763865,0.7052737618775355,0.6928838951310862,0.7409638554216867
PolitiFact,unseen,linear_svm,433,267,166,423,0.7020785219399538,0.6957605703713732,0.6909965977927143,0.7228464419475655,0.6686746987951807
PolitiFact,unseen,random_forest,433,267,166,423,0.6327944572748267,0.6133748477054285,0.6129690530398852,0.6966292134831461,0.5301204819277109
PolitiFact,unseen,hostname_only,433,267,166,423,0.3833718244803695,0.5,0.27712854757929883,0.0,1.0
