corpus,model,cluster_policy,n,source_clusters,missing_hostname_n,bootstrap_resamples,accuracy,accuracy_cluster_bootstrap_95_low,accuracy_cluster_bootstrap_95_high,balanced_accuracy,balanced_accuracy_cluster_bootstrap_95_low,balanced_accuracy_cluster_bootstrap_95_high,macro_f1,macro_f1_cluster_bootstrap_95_low,macro_f1_cluster_bootstrap_95_high,fake_recall,fake_recall_cluster_bootstrap_95_low,fake_recall_cluster_bootstrap_95_high,real_recall,real_recall_cluster_bootstrap_95_low,real_recall_cluster_bootstrap_95_high
GossipCop,multinomial_nb,missing_pooled_primary,20587,2072,268,2000,0.31170155923641135,0.28028823708933387,0.3516415302103901,0.5015463028157897,0.49348533206309286,0.5090051627095883,0.30681216801844546,0.27837191574297615,0.33908478708702045,0.8549538203190596,0.8397877707332283,0.8687828545751947,0.14813878531251976,0.13538099584518637,0.1619329885801791
GossipCop,logistic_regression,missing_pooled_primary,20587,2072,268,2000,0.4523242823140817,0.4356694130024934,0.47064451130061924,0.4996470983343073,0.4852256383136346,0.5140915915513697,0.4339204936036081,0.4079871646609177,0.46048317262796173,0.5877413937867338,0.5588052035608653,0.6169109586176039,0.4115528028818808,0.39568482509054026,0.42984534214517944
GossipCop,linear_svm,missing_pooled_primary,20587,2072,268,2000,0.43556613396803806,0.4159244191373192,0.4588579584504359,0.5161063818768001,0.5020516944767579,0.530463920760895,0.4262666683243998,0.3995081432625033,0.4558429786067736,0.6660369437447523,0.638717260440749,0.6940679328063871,0.36617582000884785,0.3504652822963961,0.38375913014564644
GossipCop,random_forest,missing_pooled_primary,20587,2072,268,2000,0.37120512945062417,0.35048489661232907,0.396245287566359,0.48993476081672394,0.47936251913384825,0.4985172527658698,0.3700853434473769,0.34587340241477055,0.3959341979878046,0.7109571788413098,0.6863674094255348,0.7308339961281501,0.26891234279213805,0.2527635238382307,0.28281464001586804
GossipCop,hostname_only,missing_pooled_primary,20587,2072,268,2000,0.8478165832807111,0.8313428494517698,0.8638870879639402,0.7084436399775794,0.634826742913833,0.7691322051499992,0.7422280734672402,0.6665029615623551,0.7942755575002127,0.44899244332493704,0.2936270702278302,0.5831042726738085,0.9678948366302218,0.9493773293153812,0.9805695075047395
GossipCop,multinomial_nb,missing_item_unique_secondary,20587,2339,268,2000,0.31170155923641135,0.28033398098397844,0.3514706090008354,0.5015463028157897,0.492866293118384,0.5094356358267524,0.30681216801844546,0.27816140640827214,0.3399185536389117,0.8549538203190596,0.8388128232507854,0.8689085206732265,0.14813878531251976,0.13489844456533373,0.16270861754818544
GossipCop,logistic_regression,missing_item_unique_secondary,20587,2339,268,2000,0.4523242823140817,0.43675349696108706,0.4719620642422151,0.4996470983343073,0.4847440052609243,0.5143115087967133,0.4339204936036081,0.4099553880760702,0.46013735458118005,0.5877413937867338,0.559534842103982,0.6166874897105324,0.4115528028818808,0.39479105298728984,0.43051695544178564
GossipCop,linear_svm,missing_item_unique_secondary,20587,2339,268,2000,0.43556613396803806,0.4159748745929681,0.4584182504668195,0.5161063818768001,0.5017265368899958,0.5287250442530944,0.4262666683243998,0.40041657923339397,0.45466162943118493,0.6660369437447523,0.6371769218616116,0.6918399867002947,0.36617582000884785,0.34991679446327323,0.3857562528823347
GossipCop,random_forest,missing_item_unique_secondary,20587,2339,268,2000,0.37120512945062417,0.350893602353582,0.39418241883440314,0.48993476081672394,0.47988568055889,0.49880485334590463,0.3700853434473769,0.3474605883916914,0.3940634029804147,0.7109571788413098,0.6891395415621164,0.7315078132595381,0.26891234279213805,0.25313418700299084,0.28288171739946727
GossipCop,hostname_only,missing_item_unique_secondary,20587,2339,268,2000,0.8478165832807111,0.8319330827537643,0.8631842440224095,0.7084436399775794,0.6483573424524118,0.7689909508663555,0.7422280734672402,0.6819014002861167,0.7942301239426605,0.44899244332493704,0.31902679851847626,0.5814109205731078,0.9678948366302218,0.9491085114588432,0.9800368704788684
PolitiFact,multinomial_nb,missing_pooled_primary,975,520,58,2000,0.6205128205128205,0.5688247753530167,0.6705186832486375,0.6395721925133689,0.6015077794376418,0.6786974264169571,0.6188186813186813,0.5680205759745137,0.6673366630941769,0.788235294117647,0.7457176201397755,0.8262997647619331,0.4909090909090909,0.4275761633746234,0.5571465773809524
PolitiFact,logistic_regression,missing_pooled_primary,975,520,58,2000,0.6676923076923077,0.6257701589929372,0.707430291144969,0.670427807486631,0.6321122362503581,0.7081495575285656,0.6662990568907818,0.6235515465552101,0.7063184892714746,0.691764705882353,0.6451596067075224,0.741467499124752,0.649090909090909,0.5851382607906911,0.7104143544210136
PolitiFact,linear_svm,missing_pooled_primary,975,520,58,2000,0.6758974358974359,0.6393434801651858,0.7127570222207893,0.6827807486631017,0.6477327607014522,0.7171792098192294,0.6755257304620361,0.637330085475499,0.71160447152936,0.7364705882352941,0.6910311191361219,0.7811783088235293,0.6290909090909091,0.5794787558748852,0.6780975007713669
PolitiFact,random_forest,missing_pooled_primary,975,520,58,2000,0.5876923076923077,0.542282776399085,0.6318088532952332,0.5995187165775402,0.5583728710462287,0.6387882647283486,0.587594696969697,0.5416533052000007,0.6300160606173087,0.691764705882353,0.6351243366654326,0.7462747309961819,0.5072727272727273,0.4438300447250723,0.5666818181818181
PolitiFact,hostname_only,missing_pooled_primary,975,520,58,2000,0.6943589743589743,0.629335351762723,0.7465676068068248,0.6510160427807486,0.6110734652643931,0.6906250046983197,0.628311995333272,0.5671211409260543,0.67708164256139,0.3129411764705882,0.23056064997691478,0.3908567221067221,0.9890909090909091,0.9744823897300856,0.9982998904259691
PolitiFact,multinomial_nb,missing_item_unique_secondary,975,577,58,2000,0.6205128205128205,0.5689630774235525,0.6728572593843222,0.6395721925133689,0.6031806143957444,0.6786908380780726,0.6188186813186813,0.5685738964060834,0.6687668940324843,0.788235294117647,0.7459336441893831,0.8282834141882865,0.4909090909090909,0.43532460815399493,0.5558197724654377
PolitiFact,logistic_regression,missing_item_unique_secondary,975,577,58,2000,0.6676923076923077,0.626107451914655,0.7074574370193534,0.670427807486631,0.6331728925868252,0.7089855590180645,0.6662990568907818,0.6224950734139167,0.7071953971663847,0.691764705882353,0.6411467052609978,0.7396916042931789,0.649090909090909,0.5882352941176471,0.712721563723358
PolitiFact,linear_svm,missing_item_unique_secondary,975,577,58,2000,0.6758974358974359,0.640148738395073,0.7138554708510846,0.6827807486631017,0.6495468160871202,0.7175957961152022,0.6755257304620361,0.6377780522048729,0.7129700004549638,0.7364705882352941,0.6910356617995639,0.7803044984731031,0.6290909090909091,0.5786807709348694,0.6792794799253596
PolitiFact,random_forest,missing_item_unique_secondary,975,577,58,2000,0.5876923076923077,0.5428179801542315,0.6322380516776769,0.5995187165775402,0.5614011121589111,0.6398086648683264,0.587594696969697,0.5415611655502057,0.6305998033864465,0.691764705882353,0.6380312198666797,0.7444849508599508,0.5072727272727273,0.44999595469255665,0.5700856086028065
PolitiFact,hostname_only,missing_item_unique_secondary,975,577,58,2000,0.6943589743589743,0.6408438993160739,0.7411572673379095,0.6510160427807486,0.6106710330018774,0.6895525685118096,0.628311995333272,0.5681604206146627,0.6780273501900123,0.3129411764705882,0.23195779880196418,0.39029652599139136,0.9890909090909091,0.9751329939998057,0.9984002543720191
