threshold,corpus_pair,verified_pairs,cross_label_pairs,exact_pairs
0.7,ISOT–ISOT,120,0,0
0.7,PolitiFact–PolitiFact,4,1,0
0.7,GossipCop–GossipCop,81,20,0
0.7,ISOT–PolitiFact,1,0,0
0.7,ISOT–GossipCop,1,0,0
0.7,PolitiFact–GossipCop,3,2,2
0.8,ISOT–ISOT,56,0,0
0.8,PolitiFact–PolitiFact,2,1,0
0.8,GossipCop–GossipCop,35,9,0
0.8,ISOT–PolitiFact,1,0,0
0.8,ISOT–GossipCop,1,0,0
0.8,PolitiFact–GossipCop,3,2,2
0.9,ISOT–ISOT,10,0,0
0.9,PolitiFact–PolitiFact,0,0,0
0.9,GossipCop–GossipCop,7,1,0
0.9,ISOT–PolitiFact,0,0,0
0.9,ISOT–GossipCop,0,0,0
0.9,PolitiFact–GossipCop,2,1,2
