stage,held_out_fold,model,model_name,ngram_max,min_df,model_parameter,mean_inner_macro_f1,sd_inner_macro_f1,validation_folds,fold_score_1,fold_score_2,fold_score_3,fold_score_4,fold_score_5
nested_inner,1.0,svm,Linear SVM,1,2,0.1,0.9332701356345845,0.0034615602130779275,"2,3,4,5",0.9283966191361047,0.9332401465195428,0.9360159558378706,0.9354278210448199,
nested_inner,1.0,svm,Linear SVM,1,2,1.0,0.9367443496919996,0.002596734316866764,"2,3,4,5",0.9334293165084634,0.9366905459150886,0.9370941865430623,0.939763349801384,
nested_inner,1.0,svm,Linear SVM,1,2,10.0,0.9212257748902566,0.003795505671497809,"2,3,4,5",0.9155833607889323,0.9224399471172894,0.9232142015975451,0.9236655900572595,
nested_inner,1.0,svm,Linear SVM,1,5,0.1,0.9329217054225504,0.0031906695458458864,"2,3,4,5",0.928680900174981,0.9323418861718886,0.935880327194035,0.934783708149297,
nested_inner,1.0,svm,Linear SVM,1,5,1.0,0.9347027887552288,0.002846065710385971,"2,3,4,5",0.9318845953665044,0.9327886755359613,0.9362038224793237,0.9379340616391261,
nested_inner,1.0,svm,Linear SVM,1,5,10.0,0.9195725225733716,0.002578620875554027,"2,3,4,5",0.9158469456395654,0.9198474378938141,0.9211585297434486,0.9214371770166587,
nested_inner,1.0,svm,Linear SVM,2,2,0.1,0.9358757756598575,0.0015983695177344917,"2,3,4,5",0.9341878402903812,0.9349679067053078,0.9377313082779919,0.9366160473657489,
nested_inner,1.0,svm,Linear SVM,2,2,1.0,0.9407350318399268,0.0018023791911042266,"2,3,4,5",0.9389284832080782,0.9394439425938595,0.9421903023056664,0.942377399252103,
nested_inner,1.0,svm,Linear SVM,2,2,10.0,0.9333293836373637,0.003586195424934709,"2,3,4,5",0.9297452245238651,0.9311456761495767,0.9376853012058,0.934741332670213,
nested_inner,1.0,svm,Linear SVM,2,5,0.1,0.9352581861675233,0.0028980266034463616,"2,3,4,5",0.9318409725314287,0.934326994424,0.9361680920543254,0.9386966856603391,
nested_inner,1.0,svm,Linear SVM,2,5,1.0,0.9360477922170949,0.002834021978916304,"2,3,4,5",0.934091220583714,0.933198959244657,0.9379004658131485,0.9390005232268599,
nested_inner,1.0,svm,Linear SVM,2,5,10.0,0.9216595142758374,0.0029844360189560976,"2,3,4,5",0.9177861295101457,0.922199341231984,0.9250394406543061,0.9216131457069134,
nested_inner,2.0,svm,Linear SVM,1,2,0.1,0.9355592634507458,0.0028536600656697297,"1,3,4,5",0.9332293484090923,0.9330002814159437,0.9385049987548787,0.9375024252230686,
nested_inner,2.0,svm,Linear SVM,1,2,1.0,0.9371948802165033,0.003232998809944343,"1,3,4,5",0.9380815981950683,0.9333365648209486,0.9363069917251035,0.9410543661248931,
nested_inner,2.0,svm,Linear SVM,1,2,10.0,0.9222030189768179,0.003242248134474805,"1,3,4,5",0.9228154743982967,0.918316541359047,0.9215273370226031,0.9261527231273248,
nested_inner,2.0,svm,Linear SVM,1,5,0.1,0.9353461597605228,0.0031615197484766958,"1,3,4,5",0.9325995320334984,0.9326173491163431,0.9381340649947432,0.9380336928975062,
nested_inner,2.0,svm,Linear SVM,1,5,1.0,0.9350536759635732,0.0035470638604331774,"1,3,4,5",0.9356155473267469,0.930732524384267,0.9345155855430056,0.9393510466002732,
