outer_fold,model,model_name,pipeline,ngram_max,min_df,C,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall
1,svm,Linear SVM,fixed,1,2,1.0,0.9417011375387797,0.9405431379998177,0.9412671357200659,0.9250978200111795,0.9559884559884559
1,svm,Linear SVM,selected,2,2,1.0,0.9466132368148914,0.9453075700979559,0.9461938250539452,0.9278926774734488,0.9627224627224628
2,svm,Linear SVM,fixed,1,2,1.0,0.9380816959669079,0.9368891234201486,0.9376207494676532,0.9209276334171557,0.9528506134231417
2,svm,Linear SVM,selected,2,2,1.0,0.9427352637021716,0.9416465142970754,0.9423192296596123,0.9270746018440905,0.9562184267500602
3,svm,Linear SVM,fixed,1,2,1.0,0.9397621509824199,0.9387441227436419,0.9393365089690349,0.9251187482537021,0.9523694972335819
3,svm,Linear SVM,selected,2,2,1.0,0.9449327817993796,0.9439632050296336,0.9445460906051957,0.9309863090248672,0.9569401010343999
4,svm,Linear SVM,fixed,1,2,1.0,0.9426059979317477,0.941521338111612,0.9421877452125917,0.927054220234768,0.9559884559884559
4,svm,Linear SVM,selected,2,2,1.0,0.9491985522233712,0.9482193840774054,0.9488362328397639,0.9351593068753493,0.9612794612794613
5,svm,Linear SVM,fixed,1,2,1.0,0.9442936538710094,0.9436394842932982,0.9439406008048561,0.9348980162056441,0.9523809523809523
5,svm,Linear SVM,selected,2,2,1.0,0.9466201370040067,0.945920708703609,0.9462751414758257,0.9365744621402626,0.9552669552669553
